att=2.37, moe=65.08
att=2.11, moe=60.05
att=2.09, moe=59.79
att=2.10, moe=50.27
att=1.87, moe=54.08
att=1.87, moe=48.91
att=1.86, moe=47.16
att=1.90, moe=46.08
att=1.90, moe=47.88
att=1.87, moe=51.72
att=1.88, moe=49.81
att=1.89, moe=47.94
att=1.88, moe=46.65
att=1.87, moe=53.00
att=1.90, moe=48.97
att=1.90, moe=52.95
att=1.89, moe=48.78
att=1.87, moe=46.60
att=1.89, moe=50.76
att=1.87, moe=47.74
att=1.89, moe=51.09
att=1.87, moe=49.91
att=1.86, moe=48.89
att=1.88, moe=44.84
att=1.82, moe=11.00
att=1.76, moe=11.10
att=1.76, moe=11.09
att=1.79, moe=11.11
att=1.77, moe=11.07
att=1.78, moe=11.11
att=1.78, moe=11.28
att=1.75, moe=11.10
att=1.79, moe=11.18
att=1.76, moe=11.11
att=1.77, moe=11.02
att=1.97, moe=11.12
att=1.75, moe=11.12
att=1.80, moe=11.06
att=1.74, moe=11.09
att=1.78, moe=11.06
att=1.78, moe=11.11
att=1.77, moe=11.23
att=1.79, moe=11.15
att=1.75, moe=11.15
att=1.78, moe=10.96
att=1.77, moe=11.07
att=1.76, moe=11.07
att=1.76, moe=10.90
att=1.77, moe=11.10
att=1.77, moe=11.10
att=1.76, moe=11.13
att=1.79, moe=11.11
att=1.75, moe=11.11
att=1.76, moe=11.13
att=1.77, moe=11.08
att=1.76, moe=11.13
att=1.75, moe=11.06
att=1.76, moe=11.02
att=1.74, moe=11.10
att=1.77, moe=11.12
att=1.74, moe=11.14
att=1.77, moe=11.09
att=1.76, moe=11.09
att=1.75, moe=10.96
att=1.76, moe=11.02
att=1.75, moe=11.01
att=1.74, moe=11.13
att=1.78, moe=10.98
att=1.73, moe=11.07
att=1.75, moe=11.04
att=1.77, moe=11.09
att=1.77, moe=10.98
att=1.76, moe=10.91
att=1.74, moe=11.03
att=1.78, moe=11.01
att=1.73, moe=11.08
att=1.79, moe=11.06
att=1.76, moe=11.09
att=1.75, moe=11.10
att=1.76, moe=11.15
att=1.75, moe=11.13
att=1.75, moe=11.11
att=1.77, moe=11.07
att=1.74, moe=11.08
att=1.78, moe=10.97
att=1.76, moe=11.06
att=1.74, moe=11.00
att=1.75, moe=10.87
att=1.75, moe=11.02
att=1.74, moe=11.09
att=1.77, moe=11.03
att=1.76, moe=11.00
att=1.75, moe=11.02
att=1.76, moe=11.01
att=1.73, moe=10.98
att=1.74, moe=10.88
att=1.78, moe=11.08
att=1.77, moe=11.10
att=1.74, moe=11.04
att=1.77, moe=11.08
att=1.77, moe=11.11
att=1.75, moe=11.08
att=1.77, moe=11.00
att=1.77, moe=11.06
att=1.89, moe=11.07
att=1.77, moe=11.06
att=1.74, moe=11.03
att=1.75, moe=11.04
att=1.78, moe=11.26
att=1.74, moe=11.04
att=1.75, moe=11.03
att=1.75, moe=11.09
att=1.75, moe=11.10
att=1.77, moe=11.02
att=1.73, moe=11.00
att=1.74, moe=11.01
att=1.76, moe=10.91
att=1.73, moe=11.02
att=1.75, moe=11.00
att=1.76, moe=11.06
att=1.79, moe=11.03
att=1.73, moe=10.98
att=1.74, moe=11.01
att=1.76, moe=11.09
att=1.74, moe=10.98
att=1.76, moe=11.01
att=1.76, moe=11.12
att=1.74, moe=11.16
att=1.77, moe=11.11
att=1.74, moe=11.08
att=1.74, moe=11.02
att=1.77, moe=11.08
att=1.74, moe=11.01
att=1.78, moe=11.03
att=1.77, moe=11.00
att=1.73, moe=11.09
att=1.75, moe=11.12
att=1.74, moe=11.11
att=1.73, moe=11.07
att=1.79, moe=10.99
att=1.73, moe=11.14
att=1.76, moe=11.28
att=1.77, moe=11.01
att=1.74, moe=11.06
2.916862964630127
