att=1.76, moe=1.71
att=1.55, moe=42.42
att=1.53, moe=45.50
att=1.51, moe=44.40
att=1.55, moe=48.06
att=1.51, moe=42.43
att=1.53, moe=41.57
att=1.52, moe=40.82
att=1.52, moe=42.60
att=1.50, moe=41.94
att=1.53, moe=39.41
att=1.53, moe=42.95
att=1.51, moe=38.39
att=1.52, moe=40.90
att=1.52, moe=42.40
att=1.54, moe=38.26
att=1.51, moe=42.58
att=1.52, moe=41.66
att=1.53, moe=40.41
att=1.50, moe=39.74
att=1.52, moe=40.55
att=1.51, moe=42.49
att=1.52, moe=42.62
att=1.54, moe=42.08
att=1.54, moe=44.63
att=1.53, moe=47.69
att=1.53, moe=41.82
att=1.54, moe=44.50
att=1.08, moe=0.56
att=1.07, moe=4.73
att=1.05, moe=4.73
att=1.07, moe=4.71
att=1.05, moe=4.74
att=1.05, moe=4.73
att=1.09, moe=4.72
att=1.05, moe=4.73
att=1.06, moe=4.70
att=1.05, moe=4.74
att=1.06, moe=4.70
att=1.07, moe=4.72
att=1.05, moe=4.71
att=1.05, moe=4.72
att=1.05, moe=4.71
att=1.05, moe=4.70
att=1.07, moe=4.69
att=1.05, moe=4.71
att=1.05, moe=4.68
att=1.05, moe=4.69
att=1.05, moe=4.71
att=1.07, moe=4.69
att=1.05, moe=4.67
att=1.05, moe=4.69
att=1.04, moe=4.67
att=1.06, moe=4.66
att=1.06, moe=4.68
att=1.05, moe=4.69
att=1.06, moe=0.56
att=1.04, moe=4.70
att=1.06, moe=4.69
att=1.04, moe=4.73
att=1.06, moe=4.74
att=1.06, moe=4.75
att=1.05, moe=4.72
att=1.07, moe=4.72
att=1.04, moe=4.74
att=1.06, moe=4.74
att=1.05, moe=4.74
att=1.05, moe=4.72
att=1.07, moe=4.75
att=1.05, moe=4.76
att=1.04, moe=4.75
att=1.07, moe=4.73
att=1.05, moe=4.74
att=1.06, moe=4.80
att=1.05, moe=4.78
att=1.05, moe=4.75
att=1.07, moe=4.77
att=1.05, moe=4.74
att=1.06, moe=4.76
att=1.05, moe=4.76
att=1.04, moe=4.71
att=1.07, moe=4.73
att=1.05, moe=4.74
att=1.05, moe=4.73
att=1.05, moe=0.53
att=1.07, moe=4.74
att=1.03, moe=4.72
att=1.03, moe=4.73
att=1.03, moe=4.73
att=1.02, moe=4.72
att=1.04, moe=4.72
att=1.02, moe=4.70
att=1.03, moe=4.71
att=1.02, moe=4.71
att=1.03, moe=4.70
att=1.04, moe=4.72
att=1.03, moe=4.69
att=1.02, moe=4.68
att=1.02, moe=4.73
att=1.03, moe=4.69
att=1.04, moe=4.68
att=1.02, moe=4.70
att=1.05, moe=4.70
att=1.02, moe=4.70
att=1.03, moe=4.70
att=1.04, moe=4.71
att=1.02, moe=4.70
att=1.04, moe=4.71
att=1.02, moe=4.69
att=1.02, moe=4.68
att=1.02, moe=4.68
att=1.03, moe=4.68
att=1.05, moe=0.55
att=1.05, moe=4.72
att=1.03, moe=4.76
att=1.03, moe=4.73
att=1.05, moe=4.72
att=1.03, moe=4.72
att=1.05, moe=4.73
att=1.03, moe=4.75
att=1.03, moe=4.75
att=1.05, moe=4.74
att=1.03, moe=4.73
att=1.03, moe=4.72
att=1.02, moe=4.74
att=1.02, moe=4.71
att=1.05, moe=4.72
att=1.02, moe=4.74
att=1.03, moe=4.71
att=1.02, moe=4.75
att=1.03, moe=4.74
att=1.04, moe=4.78
att=1.02, moe=4.74
att=1.03, moe=4.76
att=1.03, moe=4.76
att=1.03, moe=4.73
att=1.04, moe=4.74
att=1.03, moe=4.72
att=1.03, moe=4.76
att=1.02, moe=4.74
att=1.07, moe=0.53
att=1.04, moe=4.73
att=1.06, moe=4.71
att=1.05, moe=4.73
att=1.04, moe=4.71
att=1.06, moe=4.73
att=1.04, moe=4.74
att=1.06, moe=4.76
att=1.05, moe=4.80
att=1.05, moe=4.77
att=1.06, moe=4.75
att=1.05, moe=4.77
att=1.05, moe=4.73
att=1.04, moe=4.75
att=1.05, moe=4.75
att=1.06, moe=4.75
att=1.04, moe=4.72
att=1.04, moe=4.77
att=1.07, moe=4.76
att=1.05, moe=4.76
att=1.05, moe=4.73
att=1.05, moe=4.77
att=1.05, moe=4.76
att=1.06, moe=4.78
att=1.04, moe=4.77
att=1.05, moe=4.91
att=1.07, moe=4.72
att=1.05, moe=4.72
2.099456310272217
