att=6.75, moe=71.60
att=6.63, moe=70.59
att=6.62, moe=71.29
att=6.64, moe=71.09
att=6.64, moe=70.35
att=6.64, moe=72.20
att=6.65, moe=67.03
att=6.63, moe=70.70
att=6.63, moe=71.74
att=6.63, moe=71.18
att=6.63, moe=70.97
att=6.61, moe=68.77
att=6.66, moe=71.63
att=6.65, moe=68.47
att=6.64, moe=69.93
att=6.63, moe=70.29
att=6.63, moe=71.90
att=6.62, moe=71.97
att=6.64, moe=72.80
att=6.63, moe=70.08
att=6.66, moe=72.09
att=6.63, moe=71.33
att=6.63, moe=70.31
att=6.63, moe=71.19
att=6.63, moe=67.65
att=6.62, moe=71.01
att=6.64, moe=71.54
att=6.62, moe=70.66
att=6.62, moe=71.26
att=6.63, moe=71.03
att=6.63, moe=72.25
att=6.63, moe=71.54
att=2.03, moe=8.81
att=2.02, moe=8.77
att=2.00, moe=8.68
att=2.00, moe=8.80
att=2.00, moe=8.78
att=2.02, moe=8.76
att=2.01, moe=8.71
att=2.03, moe=8.78
att=2.00, moe=8.76
att=2.00, moe=8.75
att=1.99, moe=8.80
att=2.00, moe=8.88
att=1.99, moe=8.78
att=2.00, moe=8.71
att=2.00, moe=8.83
att=2.03, moe=8.74
att=2.01, moe=8.72
att=1.98, moe=8.78
att=1.99, moe=8.80
att=1.99, moe=8.73
att=1.99, moe=8.78
att=1.99, moe=8.76
att=2.00, moe=8.72
att=2.02, moe=8.74
att=2.00, moe=8.69
att=1.99, moe=8.74
att=1.99, moe=8.78
att=1.98, moe=8.69
att=1.99, moe=8.75
att=2.02, moe=8.74
att=2.01, moe=8.89
att=1.99, moe=8.63
att=2.01, moe=8.74
att=1.98, moe=8.77
att=2.00, moe=8.77
att=2.00, moe=8.79
att=2.01, moe=8.77
att=1.99, moe=8.76
att=1.99, moe=8.79
att=1.98, moe=8.79
att=2.01, moe=8.82
att=1.98, moe=8.70
att=2.01, moe=8.79
att=2.00, moe=8.80
att=2.00, moe=8.80
att=2.00, moe=8.81
att=1.99, moe=8.81
att=1.98, moe=8.71
att=1.99, moe=8.83
att=1.91, moe=8.79
att=2.01, moe=8.67
att=1.99, moe=8.78
att=2.01, moe=8.80
att=2.02, moe=8.69
att=1.99, moe=8.79
att=1.98, moe=8.81
att=2.00, moe=8.71
att=1.97, moe=8.69
att=2.01, moe=8.69
att=2.02, moe=8.77
att=2.01, moe=8.77
att=1.99, moe=8.87
att=1.99, moe=8.77
att=1.97, moe=8.71
att=2.00, moe=8.73
att=2.01, moe=8.76
att=1.99, moe=8.75
att=2.00, moe=8.72
att=1.97, moe=8.71
att=1.97, moe=8.78
att=1.99, moe=8.73
att=2.01, moe=8.67
att=2.02, moe=8.76
att=1.99, moe=8.66
att=1.99, moe=8.78
att=2.00, moe=8.81
att=1.99, moe=8.81
att=2.01, moe=8.80
att=1.98, moe=8.77
att=2.00, moe=8.73
att=2.01, moe=8.73
att=2.01, moe=8.68
att=1.97, moe=8.73
att=1.97, moe=8.71
att=2.00, moe=8.79
att=1.97, moe=8.78
att=1.98, moe=8.76
att=2.00, moe=8.79
att=2.00, moe=8.71
att=1.98, moe=8.77
att=1.98, moe=8.78
att=2.00, moe=8.71
att=1.99, moe=8.85
att=1.97, moe=8.75
att=2.00, moe=8.75
att=1.99, moe=8.70
att=2.00, moe=8.75
att=2.00, moe=8.71
att=1.98, moe=8.75
att=2.01, moe=8.70
att=2.06, moe=8.69
att=2.02, moe=8.75
att=1.99, moe=8.75
att=1.99, moe=8.78
att=1.98, moe=8.74
att=1.98, moe=8.77
att=1.99, moe=8.74
att=1.99, moe=8.79
att=2.02, moe=8.78
att=2.00, moe=8.80
att=1.98, moe=8.71
att=2.00, moe=8.78
att=1.99, moe=8.84
att=1.99, moe=8.80
att=1.99, moe=8.72
att=2.01, moe=8.77
att=2.01, moe=8.80
att=2.03, moe=8.68
att=1.98, moe=8.76
att=1.99, moe=8.76
att=1.98, moe=8.78
att=1.98, moe=8.78
att=1.98, moe=8.76
att=2.00, moe=8.80
att=2.00, moe=8.75
att=2.01, moe=8.74
att=1.98, moe=8.77
att=2.00, moe=8.77
att=1.99, moe=8.74
att=2.01, moe=8.72
att=1.98, moe=8.73
att=1.99, moe=8.70
att=1.97, moe=8.75
att=1.98, moe=8.77
att=1.96, moe=8.76
att=2.00, moe=8.74
att=2.00, moe=8.75
att=2.02, moe=8.76
att=1.98, moe=8.74
att=1.99, moe=8.74
att=2.00, moe=8.76
att=2.01, moe=8.76
att=2.00, moe=8.68
att=2.00, moe=8.76
att=2.01, moe=8.76
att=2.01, moe=8.78
att=1.98, moe=8.74
att=1.98, moe=8.77
att=1.98, moe=8.71
att=1.98, moe=8.73
att=1.99, moe=8.70
att=2.01, moe=8.70
att=2.00, moe=8.80
att=1.99, moe=8.82
att=1.99, moe=8.78
att=1.98, moe=8.75
att=2.06, moe=8.79
att=1.97, moe=8.75
att=2.00, moe=8.75
att=2.00, moe=8.79
4.363659620285034
