att=2.40, moe=38.10
att=2.29, moe=32.30
att=2.26, moe=33.04
att=2.26, moe=33.08
att=2.16, moe=32.26
att=2.20, moe=32.29
att=2.28, moe=29.57
att=2.19, moe=33.22
att=2.21, moe=33.09
att=2.25, moe=32.70
att=2.26, moe=32.98
att=2.18, moe=29.39
att=2.18, moe=32.91
att=2.29, moe=30.22
att=2.17, moe=32.20
att=2.19, moe=32.30
att=2.19, moe=33.00
att=2.18, moe=32.23
att=2.25, moe=33.04
att=2.27, moe=32.21
att=2.26, moe=32.81
att=2.16, moe=33.05
att=2.17, moe=32.26
att=2.26, moe=33.80
att=2.17, moe=29.59
att=2.18, moe=32.85
att=2.17, moe=33.85
att=2.19, moe=32.99
att=2.26, moe=32.22
att=2.26, moe=32.22
att=2.17, moe=33.09
att=2.17, moe=32.27
att=2.00, moe=8.17
att=1.96, moe=8.19
att=1.96, moe=8.10
att=1.96, moe=8.16
att=1.97, moe=8.20
att=2.00, moe=8.22
att=1.97, moe=8.15
att=1.97, moe=8.17
att=1.99, moe=8.17
att=1.95, moe=8.17
att=1.97, moe=8.19
att=1.97, moe=8.13
att=1.94, moe=8.19
att=1.95, moe=8.11
att=1.95, moe=8.24
att=1.95, moe=8.17
att=1.95, moe=8.18
att=1.98, moe=8.28
att=1.99, moe=8.14
att=1.95, moe=8.13
att=1.94, moe=8.12
att=1.95, moe=8.18
att=1.94, moe=8.15
att=1.95, moe=8.18
att=1.97, moe=8.11
att=1.96, moe=8.15
att=1.93, moe=8.18
att=1.94, moe=8.07
att=1.95, moe=8.18
att=1.93, moe=8.14
att=1.95, moe=8.14
att=1.96, moe=8.07
att=1.97, moe=8.16
att=1.97, moe=8.16
att=1.98, moe=8.14
att=1.96, moe=8.17
att=1.95, moe=8.16
att=1.96, moe=8.15
att=1.93, moe=8.18
att=1.95, moe=8.16
att=1.98, moe=8.16
att=1.97, moe=8.16
att=1.95, moe=8.23
att=1.96, moe=8.20
att=1.98, moe=8.18
att=1.96, moe=8.18
att=1.95, moe=8.20
att=1.94, moe=8.10
att=1.95, moe=8.17
att=1.97, moe=8.17
att=1.97, moe=8.07
att=1.97, moe=8.17
att=1.98, moe=8.14
att=1.93, moe=8.07
att=1.95, moe=8.20
att=1.98, moe=8.23
att=1.96, moe=8.12
att=1.95, moe=8.11
att=1.96, moe=8.12
att=1.95, moe=8.18
att=2.00, moe=8.21
att=1.98, moe=8.16
att=1.98, moe=8.17
att=1.95, moe=8.10
att=1.96, moe=8.17
att=1.94, moe=8.18
att=1.94, moe=8.13
att=1.97, moe=8.20
att=1.97, moe=8.09
att=2.01, moe=8.16
att=1.95, moe=8.18
att=1.96, moe=8.08
att=1.95, moe=8.18
att=1.95, moe=8.10
att=1.97, moe=8.22
att=1.96, moe=8.17
att=1.94, moe=8.21
att=2.06, moe=8.20
att=2.01, moe=8.25
att=1.94, moe=8.14
att=1.97, moe=8.18
att=1.93, moe=8.08
att=1.98, moe=8.15
att=1.95, moe=8.10
att=1.93, moe=8.13
att=1.95, moe=8.20
att=1.93, moe=8.19
att=1.93, moe=8.22
att=1.94, moe=8.11
att=1.97, moe=8.15
att=1.94, moe=8.19
att=1.94, moe=8.10
att=2.00, moe=8.17
att=1.95, moe=8.17
att=1.76, moe=8.21
att=1.96, moe=8.09
att=1.95, moe=8.17
att=1.98, moe=8.07
att=1.97, moe=8.17
att=1.94, moe=8.11
att=1.93, moe=8.08
att=1.95, moe=8.14
att=1.94, moe=8.18
att=1.96, moe=8.17
att=1.98, moe=8.09
att=1.96, moe=8.13
att=1.95, moe=8.20
att=1.94, moe=8.17
att=1.96, moe=8.16
att=1.95, moe=8.18
att=1.95, moe=8.15
att=1.91, moe=8.24
att=1.97, moe=8.17
att=1.96, moe=8.21
att=1.95, moe=8.23
att=1.97, moe=8.19
att=1.95, moe=8.17
att=1.93, moe=8.10
att=1.95, moe=8.15
att=1.98, moe=8.15
att=1.95, moe=8.24
att=1.95, moe=8.18
att=1.97, moe=8.16
att=1.99, moe=8.12
att=1.94, moe=8.14
att=1.94, moe=8.16
att=1.98, moe=8.19
att=1.95, moe=8.20
att=1.96, moe=8.18
att=1.94, moe=8.20
att=1.94, moe=8.19
att=1.96, moe=8.10
att=1.95, moe=8.15
att=1.93, moe=8.20
att=1.95, moe=8.15
att=1.95, moe=8.16
att=1.94, moe=8.17
att=1.95, moe=8.16
att=1.96, moe=8.17
att=1.97, moe=8.18
att=1.94, moe=8.12
att=1.94, moe=8.19
att=1.95, moe=8.11
att=1.94, moe=8.18
att=1.95, moe=8.21
att=1.97, moe=8.20
att=1.98, moe=8.16
att=1.95, moe=8.21
att=1.95, moe=8.10
att=1.94, moe=8.14
att=1.95, moe=8.19
att=1.99, moe=8.14
att=1.97, moe=8.20
att=1.81, moe=8.21
att=1.94, moe=8.19
att=1.93, moe=8.12
att=1.94, moe=8.18
att=1.98, moe=8.19
att=1.94, moe=8.22
att=1.96, moe=8.17
2.8912484645843506
