att=1.72, moe=2.48
att=1.58, moe=47.12
att=1.56, moe=51.77
att=1.54, moe=51.04
att=1.57, moe=54.71
att=1.57, moe=47.97
att=1.56, moe=48.05
att=1.56, moe=46.11
att=1.55, moe=49.97
att=1.55, moe=48.73
att=1.57, moe=45.17
att=1.58, moe=48.93
att=1.55, moe=43.12
att=1.57, moe=46.14
att=1.58, moe=47.22
att=1.55, moe=42.42
att=1.56, moe=51.78
att=1.56, moe=46.32
att=1.55, moe=44.52
att=1.57, moe=44.13
att=1.55, moe=46.00
att=1.56, moe=49.87
att=1.56, moe=49.70
att=1.57, moe=50.78
att=1.58, moe=52.49
att=1.56, moe=54.36
att=1.56, moe=46.87
att=1.56, moe=52.32
att=1.57, moe=1.51
att=1.54, moe=7.13
att=1.52, moe=7.07
att=1.54, moe=7.08
att=1.54, moe=7.10
att=1.53, moe=7.06
att=1.54, moe=7.08
att=1.55, moe=7.09
att=1.54, moe=7.05
att=1.55, moe=7.10
att=1.53, moe=7.06
att=1.54, moe=7.05
att=1.55, moe=7.09
att=1.52, moe=7.09
att=1.54, moe=7.06
att=1.55, moe=7.06
att=1.52, moe=7.06
att=1.53, moe=7.08
att=1.55, moe=7.05
att=1.51, moe=7.05
att=1.53, moe=7.05
att=1.55, moe=7.05
att=1.53, moe=7.03
att=1.52, moe=7.05
att=1.53, moe=7.02
att=1.53, moe=7.01
att=1.53, moe=7.03
att=1.53, moe=7.01
att=1.57, moe=1.51
att=1.52, moe=7.14
att=1.55, moe=7.09
att=1.54, moe=7.12
att=1.51, moe=7.14
att=1.55, moe=7.12
att=1.53, moe=7.17
att=1.52, moe=7.13
att=1.56, moe=7.14
att=1.52, moe=7.15
att=1.53, moe=7.11
att=1.56, moe=7.11
att=1.51, moe=7.15
att=1.54, moe=7.14
att=1.56, moe=7.11
att=1.53, moe=7.15
att=1.54, moe=7.11
att=1.56, moe=7.13
att=1.52, moe=7.17
att=1.54, moe=7.14
att=1.54, moe=7.14
att=1.52, moe=7.13
att=1.54, moe=7.08
att=1.54, moe=7.14
att=1.54, moe=7.14
att=1.53, moe=7.09
att=1.55, moe=7.14
att=1.53, moe=7.12
att=1.54, moe=1.51
att=1.53, moe=7.08
att=1.52, moe=7.08
att=1.52, moe=7.08
att=1.54, moe=7.09
att=1.51, moe=7.06
att=1.52, moe=7.02
att=1.53, moe=7.09
att=1.53, moe=7.06
att=1.52, moe=7.05
att=1.52, moe=7.05
att=1.52, moe=7.08
att=1.52, moe=7.06
att=1.55, moe=7.03
att=1.50, moe=7.05
att=1.50, moe=7.07
att=1.54, moe=7.04
att=1.53, moe=7.04
att=1.51, moe=7.05
att=1.52, moe=7.04
att=1.52, moe=7.03
att=1.52, moe=7.06
att=1.52, moe=7.03
att=1.53, moe=7.05
att=1.52, moe=7.03
att=1.52, moe=7.01
att=1.52, moe=7.03
att=1.51, moe=7.04
att=1.56, moe=1.51
att=1.54, moe=7.16
att=1.53, moe=7.12
att=1.53, moe=7.10
att=1.53, moe=7.14
att=1.53, moe=7.11
att=1.52, moe=7.06
att=1.54, moe=7.12
att=1.53, moe=7.10
att=1.53, moe=7.08
att=1.53, moe=7.12
att=1.53, moe=7.16
att=1.53, moe=7.09
att=1.53, moe=7.14
att=1.53, moe=7.10
att=1.52, moe=7.13
att=1.54, moe=7.13
att=1.53, moe=7.10
att=1.52, moe=7.06
att=1.53, moe=7.11
att=1.53, moe=7.12
att=1.53, moe=7.07
att=1.53, moe=7.10
att=1.53, moe=7.11
att=1.52, moe=7.06
att=1.52, moe=7.06
att=1.50, moe=7.14
att=1.51, moe=7.07
att=1.54, moe=1.51
att=1.53, moe=7.10
att=1.53, moe=7.06
att=1.54, moe=7.10
att=1.52, moe=7.09
att=1.53, moe=7.11
att=1.52, moe=7.15
att=1.53, moe=7.15
att=1.52, moe=7.09
att=1.53, moe=7.12
att=1.52, moe=7.10
att=1.52, moe=7.05
att=1.53, moe=7.08
att=1.51, moe=7.11
att=1.53, moe=7.09
att=1.56, moe=7.11
att=1.51, moe=7.10
att=1.52, moe=7.09
att=1.55, moe=7.08
att=1.51, moe=7.09
att=1.52, moe=7.10
att=1.54, moe=7.07
att=1.51, moe=7.06
att=1.51, moe=7.07
att=1.55, moe=7.04
att=1.52, moe=7.02
att=1.51, moe=7.04
att=1.53, moe=7.04
2.662397623062134
