att=2.36, moe=3.64
att=2.16, moe=3.53
att=2.15, moe=3.52
att=2.15, moe=3.54
att=2.14, moe=3.52
att=2.16, moe=3.51
att=2.11, moe=3.49
att=2.13, moe=3.52
att=2.13, moe=3.50
att=2.13, moe=3.52
att=2.14, moe=3.49
att=2.13, moe=3.47
att=2.12, moe=3.49
att=2.13, moe=3.50
att=2.13, moe=3.54
att=2.14, moe=3.49
att=2.14, moe=3.54
att=2.12, moe=3.47
att=2.15, moe=3.50
att=2.15, moe=3.51
att=2.15, moe=3.49
att=2.12, moe=3.52
att=2.13, moe=3.49
att=2.13, moe=3.52
att=2.12, moe=3.49
att=2.14, moe=3.35
att=1.91, moe=3.05
att=1.94, moe=3.07
att=1.90, moe=3.07
att=1.92, moe=3.03
att=1.91, moe=3.05
att=1.89, moe=3.15
att=1.26, moe=2.00
att=1.23, moe=1.98
att=1.23, moe=1.98
att=1.24, moe=1.98
att=1.23, moe=1.98
att=1.24, moe=1.97
att=1.24, moe=1.98
att=1.22, moe=2.01
att=1.22, moe=2.02
att=1.22, moe=2.02
att=1.22, moe=2.00
att=1.22, moe=2.00
att=1.22, moe=2.00
att=1.21, moe=2.00
att=1.21, moe=2.01
att=1.22, moe=2.00
att=1.23, moe=2.01
att=1.23, moe=1.99
att=1.23, moe=1.99
att=1.21, moe=2.00
att=1.21, moe=2.00
att=1.22, moe=2.00
att=1.22, moe=2.00
att=1.21, moe=2.01
att=1.21, moe=1.99
att=1.22, moe=1.99
att=1.21, moe=1.99
att=1.23, moe=1.99
att=1.23, moe=1.99
att=1.22, moe=1.96
att=1.22, moe=1.97
att=1.21, moe=1.96
att=1.27, moe=1.98
att=1.26, moe=2.00
att=1.25, moe=1.98
att=1.25, moe=1.99
att=1.25, moe=1.98
att=1.25, moe=1.99
att=1.24, moe=1.98
att=1.24, moe=1.99
att=1.24, moe=1.99
att=1.24, moe=1.99
att=1.24, moe=1.98
att=1.23, moe=1.98
att=1.23, moe=1.98
att=1.23, moe=1.98
att=1.23, moe=2.00
att=1.22, moe=2.00
att=1.22, moe=2.00
att=1.21, moe=2.00
att=1.22, moe=1.99
att=1.21, moe=2.00
att=1.21, moe=1.99
att=1.22, moe=2.00
att=1.23, moe=2.00
att=1.24, moe=1.99
att=1.23, moe=2.01
att=1.22, moe=2.00
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=2.00
att=1.22, moe=2.02
att=1.23, moe=1.97
att=1.24, moe=1.97
att=1.23, moe=1.99
att=1.25, moe=1.98
att=1.25, moe=1.98
att=1.26, moe=1.98
att=1.23, moe=1.97
att=1.23, moe=1.98
att=1.23, moe=1.97
att=1.22, moe=1.98
att=1.22, moe=1.97
att=1.22, moe=1.98
att=1.22, moe=1.98
att=1.22, moe=1.98
att=1.22, moe=1.97
att=1.21, moe=1.99
att=1.22, moe=1.99
att=1.21, moe=2.00
att=1.21, moe=2.00
att=1.21, moe=1.99
att=1.20, moe=1.99
att=1.22, moe=1.99
att=1.21, moe=1.99
att=1.23, moe=1.98
att=1.22, moe=1.98
att=1.21, moe=1.99
att=1.21, moe=1.99
att=1.20, moe=1.98
att=1.21, moe=1.99
att=1.20, moe=1.99
att=1.21, moe=1.99
att=1.23, moe=1.99
att=1.25, moe=1.98
att=1.25, moe=1.99
att=1.25, moe=1.98
att=1.25, moe=1.97
att=1.23, moe=1.98
att=1.24, moe=1.98
att=1.24, moe=1.97
att=1.23, moe=1.98
att=1.23, moe=1.98
att=1.23, moe=1.98
att=1.24, moe=1.97
att=1.23, moe=1.97
att=1.24, moe=1.98
att=1.23, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=2.01
att=1.22, moe=1.99
att=1.21, moe=1.99
att=1.21, moe=2.00
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.21, moe=2.01
att=1.23, moe=2.00
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.21, moe=1.98
att=1.21, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=1.99
att=1.22, moe=2.00
att=1.24, moe=1.98
att=1.24, moe=1.98
att=1.25, moe=1.97
att=1.25, moe=1.97
att=1.25, moe=1.97
att=1.24, moe=1.97
att=1.23, moe=2.01
att=1.22, moe=1.97
att=1.23, moe=1.98
att=1.23, moe=1.97
att=1.23, moe=1.97
att=1.22, moe=1.97
att=1.22, moe=1.97
att=1.22, moe=1.96
att=1.20, moe=1.99
att=1.21, moe=1.99
att=1.21, moe=2.00
att=1.21, moe=1.99
att=1.21, moe=1.99
att=1.21, moe=1.99
att=1.21, moe=1.98
att=1.22, moe=1.98
att=1.21, moe=1.99
att=1.21, moe=1.98
att=1.20, moe=1.98
att=1.21, moe=1.98
att=1.22, moe=1.99
att=1.20, moe=1.99
att=1.21, moe=2.06
att=1.21, moe=1.99
att=1.22, moe=1.98
att=1.23, moe=1.97
0.8465402126312256
